"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Matthias Ecke","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1983-04-12","Meerane","ue[dot]aporue.lraporue[at]ekce.saihttam","https://twitter.com/MattEcke","https://www.facebook.com/matthiasecke","https://www.instagram.com/matthias.ecke/","https://www.linkedin.com/in/matthias-ecke/","http://matthias-ecke.eu/","https://www.youtube.com/user/MatthiasEcke/",NA,NA,NA
"Christian Ehler","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1963-08-17","München","ue[dot]aporue.lraporue[at]relhe.naitsirhc","https://twitter.com/mep_ehler","https://www.facebook.com/ehler/","https://www.instagram.com/dr_christian_ehler/",NA,"https://ehler.eu/",NA,NA,NA,NA
"Marieke Ehlers","Patriots for Europe Group","Netherlands
						 
							 - Partij voor de Vrijheid (Netherlands)",NA,NA,"ue[dot]aporue.lraporue[at]soor.ekeiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bas Eickhout","Group of the Greens/European Free Alliance","Netherlands
						 
							 - GroenLinks (Netherlands)","1976-10-08","Groesbeek","ue[dot]aporue.lraporue[at]tuohkcie.sab","https://twitter.com/BasEickhout","https://www.facebook.com/bas.eickhout",NA,NA,"https://groenlinks.nl/mensen/bas-eickhout",NA,NA,NA,NA
"Sofie Eriksson","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Sweden
						 
							 - Arbetarepartiet- Socialdemokraterna (Sweden)","1992-12-13","Gävle","ue[dot]aporue.lraporue[at]nosskire.eifos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dick Erixon","European Conservatives and Reformists Group","Sweden
						 
							 - Sverigedemokraterna (Sweden)",NA,NA,"ue[dot]aporue.lraporue[at]noxire.kcid","https://x.com/DickErixon","https://www.facebook.com/DickErixonEU","https://www.instagram.com/dickerixon/?hl=de",NA,"https://erixon.com/",NA,NA,NA,NA
"Engin Eroglu","Renew Europe Group","Germany
						 
							 - Freie Wähler (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]ulgore.nigne","https://twitter.com/engineroglu_fw","https://www.facebook.com/EnginEroglu.FREIEWAEHLER/","https://www.instagram.com/engin_eroglu_/",NA,NA,NA,NA,NA,NA
"Rosa Estaràs Ferragut","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1965-10-21","Valldemossa","ue[dot]aporue.lraporue[at]saratse.asor","https://x.com/IBenEuropa",NA,"https://www.instagram.com/rosaestaras/",NA,NA,NA,NA,NA,NA
"Sebastian Everding","The Left group in the European Parliament - GUE/NGL","Germany
						 
							 - Partei Mensch Umwelt Tierschutz (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]gnidreve.naitsabes",NA,"https://www.facebook.com/europa2024","https://www.instagram.com/sebastian.everding?igsh=cTF3OGFvNHB2Zjdv",NA,NA,NA,NA,NA,NA
"Alma Ezcurra Almansa","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1986-12-11","Madrid","ue[dot]aporue.lraporue[at]arrucze.amla","https://www.twitter.com/ALMA_EZCURRA/",NA,NA,NA,NA,NA,NA,NA,NA
"Gheorghe Falcă","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1967-01-22","Brad","ue[dot]aporue.lraporue[at]aclaf.ehgroehg","https://x.com/GheorgheFalca","https://www.facebook.com/falca.gheorghe.7","https://www.instagram.com/gheorghe_falca/",NA,NA,NA,NA,NA,NA
"Marco Falcone","Group of the European People's Party (Christian Democrats)","Italy
						 
							 - Forza Italia (Italy)","1971-01-05","Catania","ue[dot]aporue.lraporue[at]enoclaf.ocram","https://x.com/marcofalconect?s=21&t=9BkYUyqgWm_Sc5Vzdf9d1w","https://www.facebook.com/avvmarcofalcone","https://www.instagram.com/marcofalconeofficial/","https://www.linkedin.com/in/marco-falcone-mep/","https://www.falconemarco.it/",NA,NA,NA,NA
"Nikolas Farantouris","The Left group in the European Parliament - GUE/NGL","Greece
						 
							 - Coalition of the Radical Left (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]siruotnaraf.soalokin","https://twitter.com/NFarantouris?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://el-gr.facebook.com/NFarantouris","https://www.instagram.com/nikolas_farantouris_?igsh=OGdydjNneThlcjZ5&utm_source=qr",NA,"https://farantouris.eu/%ce%b2%ce%b9%ce%bf%ce%b3%cf%81%ce%b1%cf%86%ce%b9%ce%ba%cf%8c/",NA,NA,NA,NA
"Laurence Farreng","Renew Europe Group","France
						 
							 - Mouvement Démocrate (France)","1966-09-06","Nimes","ue[dot]aporue.lraporue[at]gnerraf.ecnerual","https://twitter.com/laurencefarreng",NA,NA,NA,NA,NA,NA,NA,NA
"Jan Farský","Group of the European People's Party (Christian Democrats)","Czechia
						 
							 - Starostové a nezávisli (Czechia)","1979-07-11","Turnov","ue[dot]aporue.lraporue[at]yksraf.naj","https://x.com/janfar_sky",NA,"https://www.instagram.com/jan_farsky/",NA,NA,NA,NA,NA,NA
"Markus Ferber","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich-Soziale Union in Bayern e.V. (Germany)","1965-01-15","Augsburg","ue[dot]aporue.lraporue[at]rebref.sukram","https://twitter.com/MarkusFerber","https://www.facebook.com/MarkusFerberEU",NA,"https://de.linkedin.com/in/markus-ferber-mdep-6a1aa912","http://www.markus-ferber.de/","https://www.youtube.com/user/MarkusFerber",NA,NA,NA
"Viktória Ferenc","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)","1984-06-12","Uzhhorod","ue[dot]aporue.lraporue[at]cneref.airotkiv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonás Fernández","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1979-01-08","Oviedo","ue[dot]aporue.lraporue[at]zeravlazednanref.sanoj","https://twitter.com/jonasfernandez",NA,NA,NA,"http://www.jonasfernandez.com/",NA,NA,NA,NA
"Carlo Fidanza","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1976-09-21","San Benedetto del Tronto","ue[dot]aporue.lraporue[at]aznadif.olrac","http://twitter.com/fidanzacarlo","https://www.facebook.com/fidanzacarlo","https://www.instagram.com/carlo.fidanza",NA,NA,NA,NA,NA,NA
"Pietro Fiocchi","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1964-05-22","Milano","ue[dot]aporue.lraporue[at]ihccoif.orteip","https://twitter.com/FiocchiPietro","https://www.facebook.com/On.PietroFiocchi/","https://www.instagram.com/pietro_fiocchi",NA,"https://www.pietrofiocchi.info",NA,NA,NA,NA
"Gabriela Firea","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1972-07-13","BACAU","ue[dot]aporue.lraporue[at]aerif.aleirbag",NA,"https://www.facebook.com/gabifirea/","https://www.instagram.com/gabrielafirea/","https://ro.linkedin.com/in/gabrielafirea",NA,NA,NA,NA,NA
"Ruth Firmenich","Non-attached Members","Germany
						 
							 - Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (Germany)","1964-08-24","Köln","ue[dot]aporue.lraporue[at]hcinemrif.eteragramanitsirhchtur",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claire Fita","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1976-12-31","Toulouse","ue[dot]aporue.lraporue[at]atif.erialc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Ming Flanagan","The Left group in the European Parliament - GUE/NGL","Ireland
						 
							 - Independent (Ireland)","1972-01-22","Roscommon","ue[dot]aporue.lraporue[at]naganalf.gnimekul","https://twitter.com/lukeming","https://www.facebook.com/Lukemingflanagan","https://www.instagram.com/lukemingflanagan",NA,NA,"https://www.youtube.com/channel/UC2N7r8vS5NPMtdM7VvUjbVw",NA,NA,NA
"Loucas Fourlas","Group of the European People's Party (Christian Democrats)","Cyprus
						 
							 - Democratic Rally (Cyprus)","1969-08-21","Lemesos","ue[dot]aporue.lraporue[at]salruof.sacuol","https://twitter.com/loucas_fourlas","https://www.facebook.com/fourlasloucas/","https://www.instagram.com/loucas.fourlas/",NA,NA,NA,NA,NA,NA
"Emma Fourreau","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1999-10-01","Pontault-Combault","ue[dot]aporue.lraporue[at]uaerruof.amme",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emmanouil Fragkos","European Conservatives and Reformists Group","Greece
						 
							 - Elliniki Lusi-Greek Solution (Greece)","1993-06-27","Chios","ue[dot]aporue.lraporue[at]sokgarf.liuonamme","https://twitter.com/e_fragkos?lang=en","https://www.facebook.com/pages/category/Politician/Εμμανουήλ-Φράγκος-Φραγκούλης-Emmanouil-Fragkos-113822013362486/",NA,NA,NA,NA,NA,NA,NA
"Daniel Freund","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1984-10-14","Aachen","ue[dot]aporue.lraporue[at]dnuerf.leinad","https://twitter.com/daniel_freund","https://www.facebook.com/EuropaDaniel/","https://www.instagram.com/europafreund/",NA,"http://www.danielfreund.eu","https://www.youtube.com/channel/UCvyuWEMAgr_v3RLDwGqLTmQ",NA,NA,NA
"Anne-Sophie Frigout","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1991-04-11","Reims","ue[dot]aporue.lraporue[at]tuogirf.eihpos-enna","https://x.com/asfrigout?lang=de","https://www.facebook.com/ASfrigout/","https://www.instagram.com/annesophie_frigout/",NA,NA,NA,NA,NA,NA
"Sigrid Friis","Renew Europe Group","Denmark
						 
							 - Det Radikale Venstre (Denmark)","1994-10-20","Hillerød","ue[dot]aporue.lraporue[at]siirf.dirgis","https://x.com/sigridfriis","https://www.facebook.com/SigridFriis.RadikaleVenstre/","https://www.instagram.com/sigridfriis_/","https://dk.linkedin.com/in/sigridfriis","https://www.radikale.dk/mennesker/sigrid-friis/",NA,NA,NA,NA
"Heléne Fritzon","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Sweden
						 
							 - Arbetarepartiet- Socialdemokraterna (Sweden)","1960-09-29","Kristianstad","ue[dot]aporue.lraporue[at]noztirf.eneleh","https://x.com/fritzon_h","https://www.facebook.com/helenefritzonpolitiker/","https://www.instagram.com/politikerhelenefritzon/","https://se.linkedin.com/in/hel%C3%A9ne-fritzon-5513872bb",NA,NA,NA,NA,NA
"Tomasz Froelich","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1988-10-15","Hamburg","ue[dot]aporue.lraporue[at]hcileorf.zsamot","https://x.com/TomaszFroelich","https://www.facebook.com/TomaszFroelich","https://www.instagram.com/froelich.tomasz?igsh=aWJ1bndwMmttbHpy&utm_source=qr",NA,NA,NA,NA,NA,NA
"Niels Fuglsang","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Denmark
						 
							 - Socialdemokratiet (Denmark)","1985-06-29","Kobenhavn","ue[dot]aporue.lraporue[at]gnaslguf.slein","https://twitter.com/NielsFuglsang","https://www.facebook.com/FuglsangEP19",NA,NA,NA,NA,NA,NA,NA
"Kathleen Funchion","The Left group in the European Parliament - GUE/NGL","Ireland
						 
							 - Sinn Féin (Ireland)","1981-04-22","Kilkenny","ue[dot]aporue.lraporue[at]noihcnuf.neelhtak","https://x.com/kathleensf1?lang=de",NA,"https://www.instagram.com/kathleen_funchion_td/",NA,NA,NA,NA,NA,NA
"Angéline Furet","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1981-07-24","Le Mans","ue[dot]aporue.lraporue[at]teruf.enilegna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mario Furore","The Left group in the European Parliament - GUE/NGL","Italy
						 
							 - Movimento 5 Stelle (Italy)","1988-12-25","FOGGIA","ue[dot]aporue.lraporue[at]eroruf.oiram","https://twitter.com/MarioFurore","https://www.facebook.com/pg/mariofurore.europarlamentare/posts/",NA,NA,"http://www.mariofurore.it/",NA,NA,NA,NA
"Michael Gahler","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1960-04-22","Frankfurt/Main","ue[dot]aporue.lraporue[at]relhag.leahcim","https://twitter.com/gahler_michael","https://www.facebook.com/Michael.Gahler.EU/","https://www.instagram.com/gahler.michael/","https://www.linkedin.com/in/michael-gahler-09ba0b3b","http://www.michael-gahler.eu",NA,NA,NA,NA
"Kinga Gál","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)",NA,NA,"ue[dot]aporue.lraporue[at]lag.agnik",NA,NA,NA,NA,"https://galkinga.hu/en/",NA,NA,NA,NA
"Estrella Galán","The Left group in the European Parliament - GUE/NGL","Spain
						 
							 - Movimiento Sumar (Spain)","1971-04-24","Madrid","ue[dot]aporue.lraporue[at]nalag.allertse","https://x.com/estrella_galan?s=43",NA,NA,NA,NA,NA,NA,NA,NA
"Lina Gálvez","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1969-09-13","Sevilla","ue[dot]aporue.lraporue[at]zonumzevlag.anil","https://twitter.com/linagalvezmunoz",NA,NA,NA,NA,NA,NA,NA,NA
"Alberico Gambino","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1967-12-07","PAGANI","ue[dot]aporue.lraporue[at]onibmag.ocirebla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iratxe García Pérez","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1974-10-07","Baracaldo","ue[dot]aporue.lraporue[at]zerep-aicrag.extari","https://twitter.com/IratxeGarper","https://www.facebook.com/iratxe.garciaperez?fref=ts",NA,NA,"http://www.iratxegarcia.es/",NA,NA,NA,NA
"Raquel García Hermida-Van Der Walle","Renew Europe Group","Netherlands
						 
							 - Democraten 66 (Netherlands)","1983-05-28","Madrid","ue[dot]aporue.lraporue[at]ellawrednav-adimrehaicrag.leuqar","https://x.com/RaquelGarciaHer","https://www.facebook.com/RaquelGarciaD66/","https://www.instagram.com/raquelineuropa/","https://www.linkedin.com/in/raquel-garcia-hermida-van-der-walle-2a6b074/",NA,NA,NA,NA,NA
"Jean-Paul Garraud","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)",NA,NA,"ue[dot]aporue.lraporue[at]duarrag.luap-naej",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamila Gasiuk-Pihowicz","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1983-05-08","Warszawa","ue[dot]aporue.lraporue[at]zciwohip-kuisag.alimak","https://x.com/Gasiuk_Pihowicz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.facebook.com/Kamila.Gasiuk.Pihowicz/?locale=pl_PL","https://www.instagram.com/gasiukpihowicz/?hl=en",NA,"http://gasiuk-pihowicz.pl/",NA,NA,NA,NA
"Geadis Geadi","European Conservatives and Reformists Group","Cyprus
						 
							 - Εθνικό Λαϊκό Μέτωπο (Cyprus)",NA,NA,"ue[dot]aporue.lraporue[at]idaeg.sidaeg","https://x.com/GeadisGeadi","https://www.facebook.com/geadisgeadi","https://www.instagram.com/geadisgeadi/","https://www.linkedin.com/in/%CE%B3%CE%B5%CE%AC%CE%B4%CE%B7%CF%82-%CE%B3%CE%B5%CE%AC%CE%B4%CE%B7-a92670114/","https://www.geadis.com.cy/",NA,NA,NA,NA
"Hanna Gedin","The Left group in the European Parliament - GUE/NGL","Sweden
						 
							 - Vänsterpartiet (Sweden)","1978-03-11","Lyngby","ue[dot]aporue.lraporue[at]nideg.annah",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandra Geese","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1968-07-01","Lippstadt","ue[dot]aporue.lraporue[at]eseeg.ardnaxela","https://twitter.com/alexandrageese",NA,"https://www.instagram.com/alexandrageese/",NA,"https://alexandrageese.eu/",NA,NA,NA,NA
"Jens Geier","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1961-06-22","Frankfurt","ue[dot]aporue.lraporue[at]reieg.snej",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas Geisel","Non-attached Members","Germany
						 
							 - Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (Germany)","1963-10-26","ELLWANGEN","ue[dot]aporue.lraporue[at]lesieg.samoht",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chiara Gemma","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1968-09-20","Brindisi","ue[dot]aporue.lraporue[at]ammeg.araihc",NA,"https://www.facebook.com/ChiaraGemmaUE","https://www.instagram.com/chiaragemma_eu/?igshid=YmMyMTA2M2Y%3D",NA,NA,NA,NA,NA,NA
"Giorgos Georgiou","The Left group in the European Parliament - GUE/NGL","Cyprus
						 
							 - Progressive Party of Working People - Left - New Forces (Cyprus)","1963-04-09","Nicosia","ue[dot]aporue.lraporue[at]uoigroeg.sogroig",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gerben-Jan Gerbrandy","Renew Europe Group","Netherlands
						 
							 - Democraten 66 (Netherlands)","1967-06-28","Den Haag","ue[dot]aporue.lraporue[at]ydnarbreg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean-Marc Germain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1966-06-12","Lyon","ue[dot]aporue.lraporue[at]niamreg.cram-naej","https://www.twitter.com/jmgermain","https://www.facebook.com/profile.php?id=100091377755467&locale=fr_FR","https://www.instagram.com/j_m_germain/",NA,NA,NA,NA,NA,NA
"Gabriella Gerzsenyi","Group of the European People's Party (Christian Democrats)","Hungary
						 
							 - Tisztelet és Szabadság Párt (Hungary)",NA,NA,"ue[dot]aporue.lraporue[at]iyneszreg.alleirbag","https://x.com/gerzsenyigabi",NA,"https://www.instagram.com/gerzsenyigabi/",NA,NA,NA,NA,NA,NA
"Niels Geuking","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Familien-Partei Deutschlands (Germany)","1992-11-17","Coesfeld","ue[dot]aporue.lraporue[at]gnikueg.slein",NA,NA,"https://www.instagram.com/nielsgeuking.europa/",NA,NA,NA,NA,NA,NA
"Jens Gieseke","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1971-05-18","Lingen","ue[dot]aporue.lraporue[at]ekeseig.snej",NA,"https://www.facebook.com/gieseke.europa","https://www.instagram.com/jens.gieseke/",NA,"https://jens-gieseke.de/","https://www.youtube.com/channel/UCbh8E53OeOxFH1cnD7RAAfw",NA,NA,NA
"Borja Giménez Larraz","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]zarralzenemig.ajrob","https://x.com/borjagimenezl",NA,"https://www.instagram.com/borja_gimenezlarraz/",NA,NA,NA,NA,NA,NA
"Juan Carlos Girauta Vidal","Patriots for Europe Group","Spain
						 
							 - VOX (Spain)","1961-03-12","Barcelona","ue[dot]aporue.lraporue[at]ladivatuarig.solracnauj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunčana Glavak","Group of the European People's Party (Christian Democrats)","Croatia
						 
							 - Hrvatska demokratska zajednica (Croatia)","1968-12-09","Čakovec","ue[dot]aporue.lraporue[at]kavalg.anacnus","https://twitter.com/SuncanaGlavak","https://www.facebook.com/SGlavak","https://www.instagram.com/suncanaglavak/",NA,"https://suncanaglavak.eu/","https://www.youtube.com/channel/UCBlq8oxSVCA7-EaeGK8NJ6Q",NA,NA,NA
"Andreas Glück","Renew Europe Group","Germany
						 
							 - Freie Demokratische Partei (Germany)","1975-03-08",NA,"ue[dot]aporue.lraporue[at]kceulg.saerdna","https://twitter.com/andi_glueck","https://www.facebook.com/glueck.fuer.europa","https://www.instagram.com/glueckfuereuropa/","https://de.linkedin.com/in/andreas-gl%C3%BCck-18a462223","https://www.andreas-glueck.com/",NA,NA,NA,NA
"Raphaël Glucksmann","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Place publique (France)","1979-10-15","Boulogne-Billancourt","ue[dot]aporue.lraporue[at]nnamskculg.leahpar","https://twitter.com/rglucks1","https://www.facebook.com/raphael.glucksmann","https://www.instagram.com/raphaelglucksmann/","https://www.linkedin.com/in/raphaelglucksmann/?originalSubdomain=fr",NA,NA,NA,NA,NA
"Charles Goerens","Renew Europe Group","Luxembourg
						 
							 - Parti démocratique (Luxembourg)","1952-02-06","Ettelbruck","ue[dot]aporue.lraporue[at]snereog.selrahc","https://twitter.com/CharlesGoerens","https://www.facebook.com/charles.goerens","https://www.instagram.com/cgoerens/?hl=fr",NA,"https://charlesgoerens.eu/","https://www.youtube.com/channel/UC_Vzgl3T3-0dtx7c0hsKVyQ",NA,NA,NA
"Christophe Gomart","Group of the European People's Party (Christian Democrats)","France
						 
							 - Les Républicains (France)","1960-06-20","Saumur","ue[dot]aporue.lraporue[at]tramog.ehpotsirhc","https://x.com/Chris_Gomart",NA,"https://www.instagram.com/christophe.gomart/",NA,NA,NA,NA,NA,NA
"Isilda Gomes","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1951-09-16","Mido","ue[dot]aporue.lraporue[at]semog.adlisi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sandra Gómez López","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1985-07-23","Valencia","ue[dot]aporue.lraporue[at]zepolzemog.ardnas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruno Gonçalves","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1996-12-27","Braga","ue[dot]aporue.lraporue[at]sevlacnog.onurb","https://x.com/brunog2504",NA,"https://www.instagram.com/brunogoncalvesb/",NA,NA,NA,NA,NA,NA
"Sérgio Gonçalves","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1979-04-07","Funchal","ue[dot]aporue.lraporue[at]sevlacnogasuos.oigres",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicolás González Casares","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1972-07-20","A Coruña","ue[dot]aporue.lraporue[at]serasac.salocin","https://twitter.com/nicogoncas","https://www.facebook.com/nicogoncas","https://www.instagram.com/nicogcasares/",NA,NA,NA,NA,NA,NA
"Esteban González Pons","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1964-08-21","Valencia","ue[dot]aporue.lraporue[at]snopzelaznog.nabetse","https://x.com/gonzalezpons",NA,NA,NA,NA,NA,NA,NA,NA
"Giorgio Gori","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1960-03-24","Bergamo","ue[dot]aporue.lraporue[at]irog.oigroig",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Małgorzata Gosiewska","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]aksweisog.atazroglam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dirk Gotink","Group of the European People's Party (Christian Democrats)","Netherlands
						 
							 - Nieuw Sociaal Contract (Netherlands)","1981-08-13","Haarlem","ue[dot]aporue.lraporue[at]knitog.krid","https://x.com/dirkgotink",NA,"https://www.instagram.com/dirk.gotink.mep/",NA,"https://partijnieuwsociaalcontract.nl/",NA,NA,NA,NA
"Sandro Gozi","Renew Europe Group","France
						 
							 - Mouvement Démocrate (France)","1968-03-25","Sogliano al Rubicone","ue[dot]aporue.lraporue[at]izog.ordnas",NA,"https://www.facebook.com/sandrogoziufficiale/",NA,NA,NA,NA,NA,NA,NA
"Maria Grapini","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1954-11-07","Berești - Galați","ue[dot]aporue.lraporue[at]iniparg.airam","https://twitter.com/mariagrapini?lang=fr","https://www.facebook.com/MariaGrapini",NA,NA,NA,NA,NA,NA,NA
"Petras Gražulis","Europe of Sovereign Nations Group","Lithuania
						 
							 - Tautos ir teisingumo sąjunga (Lithuania)",NA,NA,"ue[dot]aporue.lraporue[at]siluzarg.sartep",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Markéta Gregorová","Group of the Greens/European Free Alliance","Czechia
						 
							 - PIRÁTI (Czechia)","1993-01-14","Most","ue[dot]aporue.lraporue[at]avorogerg.atekram","http://twitter.com/MarketkaG","https://www.facebook.com/MEPGregorova","http://instagram.com/ruzovarebelka",NA,NA,NA,NA,NA,NA
"Branko Grims","Group of the European People's Party (Christian Democrats)","Slovenia
						 
							 - Slovenska demokratska stranka (Slovenia)","1962-08-26","Kranj","ue[dot]aporue.lraporue[at]smirg.oknarb","https://x.com/BrankoGrimsX1",NA,"https://www.instagram.com/branko.grims.eu/",NA,NA,NA,NA,NA,NA
"Catherine Griset","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1972-08-20","Boulogne-sur-Mer","ue[dot]aporue.lraporue[at]tesirg.enirehtac","https://twitter.com/GrisetCatherine","https://www.facebook.com/CatherineGriset.RN/",NA,NA,NA,NA,NA,NA,NA
"Hanna Gronkiewicz-Waltz","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1952-11-04","Warszawa","ue[dot]aporue.lraporue[at]ztlaw-zciweiknorg.annah","https://x.com/hannagw?s=11&t=Q-iU1K13ceOhY2t2L2kWRQ","https://www.facebook.com/hanna.gronkiewiczwaltz?locale=pl_PL","https://www.instagram.com/hanna.gronkiewiczwaltz?igsh=MWRycWNuZWNsaHM4ZA",NA,NA,NA,NA,NA,NA
"Bart Groothuis","Renew Europe Group","Netherlands
						 
							 - Volkspartij voor Vrijheid en Democratie (Netherlands)","1981-01-01",NA,"ue[dot]aporue.lraporue[at]siuhtoorg.trab","https://twitter.com/bgroothuis",NA,NA,"https://nl.linkedin.com/in/groothuisbart",NA,NA,NA,NA,NA
"Elisabeth Grossmann","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Austria
						 
							 - Sozialdemokratische Partei Österreichs (Austria)","1968-11-25","Graz","ue[dot]aporue.lraporue[at]nnamssorg.htebasile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christophe Grudler","Renew Europe Group","France
						 
							 - Mouvement Démocrate (France)","1965-04-09","BELFORT","ue[dot]aporue.lraporue[at]reldurg.ehpotsirhc","https://twitter.com/grudlerch","https://www.facebook.com/GrudlerCh/","https://www.instagram.com/grudlerch/",NA,"https://christophegrudler.eu/",NA,NA,NA,NA
